TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_INTERNATIONAL_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,county_pop2018_18 and older,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Upper 95% CI,COPD_number,diabetes_number,CKD_prevalence,CKD_Upper 95% CI,CKD_number,Urban_rural_code
26887.0,3826.0,3957.0,3295.0,3331.0,3147.0,3314.0,3008.0,1980.0,1029.0,18841.0,7134.0,225.0,225.0,37.0,425.0,26887.0,-9.0,326.0,-0.1,3362.0,6784.0,4696.0,2790.0,38.5,15.8,6615.0,37148.0,33818.0,40478.0,11945.0,11251.0,694.0,37148.0,63.4,228.7,202.9,79.1,71.9,7.0,12.30678385,8.50356591,0.370609275,12.72339979,8.718263697,32.6851821,8.0,27160.0,5815.0,21.4,19774.0,49.4,47.6,51.2,9774.0,36.2,34.9,37.6,7158.0,9.1,8.3,9.8,10.7,12.0,2122.0,3171.0,3.9,4.2,781.0,5.0
13033.0,1920.0,1863.0,1609.0,1389.0,1370.0,1634.0,1659.0,1033.0,556.0,10247.0,2173.0,125.0,125.0,22.0,341.0,13033.0,159.0,65.0,2.5,1290.0,2981.0,2524.0,1550.0,35.7,18.6,2431.0,43714.0,39025.0,48403.0,4990.0,4745.0,245.0,43714.0,72.1,224.8,199.9,72.9,66.5,6.2,4.495414842,2.653202921,0.237485047,4.931333857,4.364639137,15.39248205,0.0,12670.0,3038.0,24.0,9570.0,52.1,50.2,53.9,4991.0,38.9,37.4,40.4,3723.0,9.4,8.7,10.2,9.2,10.3,880.0,1479.0,3.8,4.1,366.0,6.0
3653.0,553.0,498.0,407.0,403.0,360.0,451.0,463.0,308.0,210.0,3266.0,225.0,50.0,11.0,2.0,99.0,3653.0,-30.0,99.0,1.1,464.0,771.0,675.0,467.0,32.4,19.6,723.0,39726.0,35423.0,44029.0,1466.0,1413.0,53.0,39726.0,65.5,224.8,199.9,72.9,66.5,6.2,1.260013076,0.743662263,0.066564327,1.382196162,1.22335815,4.314335681,0.0,3753.0,948.0,25.3,2688.0,47.1,45.0,48.9,1265.0,35.4,34.0,36.9,952.0,9.7,8.8,10.6,9.1,10.4,245.0,405.0,3.9,4.2,104.0,6.0
93224.0,10172.0,11310.0,15409.0,11251.0,10663.0,11044.0,11359.0,7716.0,4300.0,85022.0,4581.0,204.0,1234.0,25.0,2158.0,93224.0,-1262.0,3934.0,0.1,7599.0,21011.0,18606.0,16322.0,33.1,25.7,17242.0,39790.0,36807.0,42773.0,41287.0,39332.0,1955.0,39790.0,90.4,263.4,231.6,100.1,89.4,10.5,48.62966655,34.48473169,2.890935591,50.38487744,64.06519765,144.7016511,88.0,96100.0,22787.0,23.7,74829.0,54.0,51.6,56.3,40375.0,38.0,36.2,39.7,28435.0,9.8,8.8,10.9,12.0,13.9,8960.0,10298.0,3.4,3.7,2530.0,3.0
8732.0,854.0,1142.0,1377.0,1146.0,1321.0,1022.0,911.0,615.0,344.0,7325.0,1179.0,71.0,26.0,10.0,121.0,8732.0,109.0,1481.0,11.8,1467.0,2507.0,1203.0,969.0,40.8,15.8,1521.0,42689.0,37973.0,47405.0,2847.0,2756.0,91.0,42689.0,77.0,265.2,240.7,86.8,80.1,6.9,5.067180298,2.497923103,0.088962631,4.753556275,3.39451884,11.93124176,0.0,8684.0,1667.0,19.2,6961.0,49.3,47.2,51.3,3429.0,36.7,35.4,38.0,2555.0,9.9,9.0,10.9,11.6,13.2,810.0,959.0,3.7,3.9,254.0,6.0
23771.0,2878.0,3034.0,2326.0,2823.0,2739.0,3680.0,3448.0,1867.0,976.0,23007.0,193.0,56.0,211.0,11.0,293.0,23771.0,57.0,180.0,0.5,839.0,5800.0,5863.0,4022.0,35.1,24.3,1933.0,68017.0,64243.0,71791.0,13933.0,13570.0,363.0,68017.0,111.9,264.9,238.3,94.6,86.4,7.9,12.43429354,7.523544921,0.543821454,12.47927125,13.39518107,37.60545796,0.0,23576.0,5649.0,24.0,18326.0,43.7,41.2,46.1,8012.0,35.4,33.4,37.3,6487.0,7.1,6.3,7.8,6.7,7.8,1220.0,1793.0,2.9,3.2,538.0,3.0
127939.0,13850.0,16480.0,15923.0,14081.0,14123.0,18031.0,17866.0,10728.0,6857.0,119804.0,3532.0,912.0,871.0,67.0,2753.0,127939.0,-670.0,6071.0,2.6,9985.0,32222.0,28129.0,19522.0,35.9,21.7,22426.0,45689.0,43556.0,47822.0,54993.0,52227.0,2766.0,45689.0,67.5,375.1,304.1,112.9,94.8,10.2,82.56173747,58.22072249,1.086769362,135.6497661,42.42328592,320.1910599,26.0,130846.0,33458.0,25.6,101942.0,46.5,44.5,48.3,47370.0,34.4,33.1,35.6,35068.0,8.8,8.0,9.8,10.1,11.6,10253.0,12684.0,3.5,3.8,3571.0,5.0
131349.0,13688.0,15778.0,15629.0,14788.0,16566.0,19127.0,17668.0,12167.0,5938.0,123234.0,3999.0,553.0,1230.0,98.0,2235.0,131349.0,1449.0,2084.0,0.7,9996.0,31875.0,27833.0,22022.0,34.8,24.0,12816.0,57939.0,54424.0,61454.0,62275.0,60266.0,2009.0,57939.0,110.6,253.1,225.8,85.1,77.8,8.1,111.5203747,23.12670262,2.231183558,69.59352542,48.23236805,196.014326,16.0,127135.0,32770.0,25.8,104790.0,48.8,46.6,51.1,51164.0,37.2,35.5,39.0,38982.0,8.6,7.8,9.5,10.1,11.8,10575.0,13065.0,3.2,3.5,3383.0,3.0
45313.0,4915.0,5739.0,4922.0,5299.0,5400.0,6548.0,6375.0,3729.0,2386.0,43991.0,445.0,168.0,175.0,15.0,519.0,45313.0,-202.0,863.0,0.1,2902.0,12488.0,10691.0,6262.0,38.6,19.4,5740.0,53409.0,48576.0,58242.0,23066.0,21934.0,1132.0,53409.0,82.1,284.4,240.5,99.6,87.2,7.0,17.65065591,8.862670668,0.665055945,34.32328837,21.53074166,76.05110336,0.0,45960.0,12200.0,26.5,35669.0,45.1,42.7,47.5,16090.0,33.2,31.4,35.1,11842.0,8.2,7.4,9.0,9.4,10.7,3341.0,4045.0,3.3,3.5,1160.0,2.0
4599.0,662.0,600.0,570.0,445.0,499.0,612.0,551.0,409.0,251.0,4514.0,6.0,15.0,14.0,0.0,50.0,4599.0,85.0,47.0,0.7,425.0,1386.0,801.0,342.0,46.9,11.6,764.0,39463.0,35407.0,43519.0,1977.0,1895.0,82.0,39463.0,72.5,273.1,236.3,86.6,79.0,7.0,2.565070778,0.499201659,0.091582861,2.860838378,2.053858253,8.156129355,0.0,4450.0,1136.0,25.5,3443.0,49.3,47.0,51.6,1697.0,37.2,35.1,39.0,1281.0,9.7,8.8,10.7,11.3,12.9,391.0,453.0,3.6,3.9,122.0,5.0
